participant_id,day,session_label,mean_wpm,mean_errors_per_phrase,error_rate_per_phrase,mean_cer,mean_accuracy,n_trials,n_selections,n_errors,error_rate_per_keystroke,n_late_err,n_early_err,n_other_err,early_share_of_err,late_share_of_err,other_share_of_err,early_err_per_key,late_err_per_key,other_err_per_key,mean_trigger_offset_ms,median_trigger_offset_ms,mean_gaze_pinch_latency_ms,median_gaze_pinch_latency_ms,mean_approach_latency_ms,mean_fixation_dwell_ms,mean_key_hold_ms,mean_fixation_ms,mean_corrective_saccades
P02,2,experiment_2,11.075167012562218,0.2,0.1,0.04,0.96,10,50,2,0.04,0,1,1,0.5,0.0,0.5,0.02,0.0,0.02,3.0816326530612246,0.0,568.7021276595744,536.0,694.5945945945946,122.70270270270271,91.22,98.65631313131313,0.54
P02,2,experiment_3,11.272202512499081,0.1,0.1,0.02,0.9800000000000001,10,50,1,0.02,0,0,1,0.0,0.0,1.0,0.0,0.0,0.02,-1.0,0.0,597.0416666666666,568.0,733.9117647058823,147.0,86.98,97.54128968253968,0.44000000000000006
P02,2,experiment_4,11.050972762837432,0.1,0.1,0.02,0.9800000000000001,10,50,1,0.02,0,0,1,0.0,0.0,1.0,0.0,0.0,0.02,2.02,0.0,586.0888888888888,570.0,720.0526315789474,137.78947368421052,88.8,96.84028693528694,0.9199999999999999
P02,2,experiment_5,9.711392969446763,0.3,0.3,0.06000000000000001,0.9400000000000001,10,50,3,0.06,1,0,2,0.0,0.3333333333333333,0.6666666666666666,0.0,0.02,0.04,9.48,0.0,619.0434782608696,585.0,723.175,124.05,80.81632653061224,101.26885504201681,1.02
P02,3,experiment_1,11.129925455053955,0.0,0.0,0.0,1.0,10,50,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.3829787234042,518.0,644.3513513513514,108.54054054054055,86.32,100.71587301587302,0.76
P02,3,experiment_2,10.041780938879938,0.1,0.1,0.02,0.9800000000000001,10,50,1,0.02,0,0,1,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,638.2826086956521,567.0,737.6315789473684,120.44736842105263,85.72,96.79857142857142,1.02
P02,3,experiment_3,10.134532224442877,0.1,0.1,0.02,0.9800000000000001,10,50,1,0.02,1,0,0,0.0,1.0,0.0,0.0,0.02,0.0,6.04,0.0,610.6739130434783,584.0,768.2432432432432,146.05405405405406,88.65306122448979,99.76419191919192,1.04
P02,3,experiment_4,11.339904291339606,0.1,0.1,0.02,0.9800000000000001,10,50,1,0.02,0,0,1,0.0,0.0,1.0,0.0,0.0,0.02,-1.36,0.0,620.3333333333334,600.0,725.3225806451613,114.48387096774194,89.56,98.59180708180708,0.8800000000000001
P02,3,experiment_5,11.32035348024963,0.4,0.3,0.08,0.9199999999999999,10,50,4,0.08,1,3,0,0.75,0.25,0.0,0.06,0.02,0.0,-1.72,0.0,662.6666666666666,658.5,765.0,98.94444444444444,82.28,97.72920634920635,0.8
P03,1,experiment_1,11.570104996647386,0.3,0.2,0.06000000000000001,0.9400000000000001,10,50,3,0.06,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.02,0.02,0.02,10.18,0.0,541.7435897435897,551.0,641.6764705882352,100.97058823529412,133.16,101.1683552721788,0.64
P03,1,experiment_2,10.304872926086947,0.1,0.1,0.02,0.9800000000000001,10,50,1,0.02,0,0,1,0.0,0.0,1.0,0.0,0.0,0.02,-3.38,0.0,581.9555555555555,634.0,767.3421052631579,190.97368421052633,125.14,101.34443744164332,0.8400000000000001
P03,1,experiment_3,11.322289745451679,0.0,0.0,0.0,1.0,10,50,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.98,0.0,557.1063829787234,534.0,720.7837837837837,140.9189189189189,126.70454545454545,102.25360129035052,0.62
P03,1,experiment_4,10.906884511421307,0.3,0.2,0.06000000000000001,0.9400000000000001,10,50,3,0.06,0,3,0,1.0,0.0,0.0,0.06,0.0,0.0,-20.693877551020407,0.0,527.0222222222222,534.0,691.0625,171.3125,118.64583333333333,111.92994047619047,0.64
P03,1,experiment_5,10.086766196296223,0.2,0.2,0.04,0.96,10,50,2,0.04,0,1,1,0.5,0.0,0.5,0.02,0.0,0.02,-2.3,0.0,590.3913043478261,583.5,759.2972972972973,177.94594594594594,119.38,103.5973820915926,0.7
P03,2,experiment_1,11.32173526557443,0.2,0.2,0.04,0.96,10,50,2,0.04,1,1,0,0.5,0.5,0.0,0.02,0.02,0.0,3.06,0.0,624.6382978723404,584.0,697.6470588235294,117.5,101.12,96.22209568209568,0.78
