participant_id,day,session_type,session_index,session_label,trial_id,target_word,typed_text,start_time,end_time,duration_ms,num_characters_typed,target_length,error_count,character_error_rate,event_log_file,run_dir,wpm,entry_seconds,accuracy,errors_per_phrase,has_error
P01,1,experiment,4,experiment_4,trial_001,alert,alert,1780566550072,1780566556902,6830,5,5,0,0.0,experiment_4/trial_001_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,9.960572732932144,4.819,1.0,0.0,0.0
P01,1,experiment,4,experiment_4,trial_002,learn,leern,1780566556903,1780566567070,10167,5,5,1,0.2,experiment_4/trial_002_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,7.2507552870090635,6.62,0.8,1.0,1.0
P01,1,experiment,4,experiment_4,trial_003,alone,alrne,1780566567071,1780566576104,9033,5,5,1,0.2,experiment_4/trial_003_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,8.36674219975597,5.737,0.8,1.0,1.0
P01,1,experiment,4,experiment_4,trial_004,toast,trast,1780566576105,1780566586388,10283,5,5,1,0.2,experiment_4/trial_004_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,6.314127861089187,7.602,0.8,1.0,1.0
P01,1,experiment,4,experiment_4,trial_005,least,least,1780566586389,1780566596057,9668,5,5,0,0.0,experiment_4/trial_005_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,8.397480755773268,5.716,1.0,0.0,0.0
P01,1,experiment,4,experiment_4,trial_006,slate,slate,1780566596058,1780566603222,7164,5,5,0,0.0,experiment_4/trial_006_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,9.663780954298371,4.967,1.0,0.0,0.0
P01,1,experiment,4,experiment_4,trial_007,snore,lnore,1780566603223,1780566619891,16668,5,5,1,0.2,experiment_4/trial_007_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,7.022677395757133,6.835,0.8,1.0,1.0
P01,1,experiment,4,experiment_4,trial_008,later,leter,1780566619893,1780566627275,7382,5,5,1,0.2,experiment_4/trial_008_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,8.725686238865661,5.501,0.8,1.0,1.0
P01,1,experiment,4,experiment_4,trial_009,stone,stone,1780566627276,1780566646776,19500,5,5,0,0.0,experiment_4/trial_009_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,2.7091093802912294,17.718,1.0,0.0,0.0
P01,1,experiment,4,experiment_4,trial_010,stare,rtare,1780566646778,1780566665125,18347,5,5,1,0.2,experiment_4/trial_010_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,2.842759846017175,16.885,0.8,1.0,1.0
P01,1,experiment,5,experiment_5,trial_001,alert,alert,1780566667214,1780566673878,6664,5,5,0,0.0,experiment_5/trial_001_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,12.684989429175477,3.784,1.0,0.0,0.0
P01,1,experiment,5,experiment_5,trial_002,stone,stone,1780566673879,1780566698764,24885,5,5,0,0.0,experiment_5/trial_002_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,2.2066936373666795,21.752,1.0,0.0,0.0
P01,1,experiment,5,experiment_5,trial_003,later,laser,1780566698767,1780566722880,24113,5,5,1,0.2,experiment_5/trial_003_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,2.3897241860001994,20.086,0.8,1.0,1.0
